Campo,Decisão
Estilo-mãe,Realismo editorial cinematográfico
Função,"Parecer série dramática de prestígio, não banco de imagens nem ilustração decorativa"
Luz,"Natural, lateral ou ambiente, sem glow artificial"
Paleta,"Cinza, verde musgo, azul petróleo, marrom antigo, ferrugem, madeira envelhecida, bege gasto, branco amarelado"
Saturação,Baixa a média-baixa
Textura,"Grão de filme sutil, superfície vivida, desgaste real"
Contraste,Moderado; sombras presentes sem perder legibilidade
Composição,"Emoção pela composição, não por efeito"
Fotos reais,"Permanecem documentais; podem receber tratamento editorial, nunca virar personagem de IA"
Reconstituições IA,"Somente quando não existir foto real; obedecer ao mesmo universo cromático e dramático"
Funções narrativas,"documental, abertura, símbolo, transição, interlúdio, fechamento"
Estilos recusados,"aquarela, cartoon, pintura digital exuberante, glamourização, hiper-realismo publicitário, IA genérica de banco, visual aspiracional dourado/luxuoso"
Regra crítica,"Não transformar fotografia real em personagem de IA"
